ID,Store,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
7170,1,2012-01-06,0,17,8086.43,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7180,1,2012-01-06,0,18,7018.32,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7181,1,2012-01-06,0,19,607.22,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7184,1,2012-01-06,0,12,7634.97,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7192,1,2012-01-06,0,1,16567.69,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7195,1,2012-01-06,0,16,6258.08,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7198,1,2012-01-06,0,7,12377.76,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7200,1,2012-01-06,0,4,40925.76,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7203,1,2012-01-06,0,5,23105.81,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7206,1,2012-01-06,0,11,25666.34,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7207,1,2012-01-06,0,10,29927.33,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7208,1,2012-01-06,0,8,36797,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7211,1,2012-01-06,0,2,44481.38,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7212,1,2012-01-06,0,20,3246.33,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7214,1,2012-01-06,0,3,13926.04,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7215,1,2012-01-06,0,6,3665.25,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7221,1,2012-01-06,0,14,14585.64,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7229,1,2012-01-06,0,13,41411.4,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
7236,1,2012-01-06,0,9,20705.21,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,3,151315
